property_id,entity_count
1,1487
40,1391
48,1385
59,1377
223,1250
134,1206
49,1184
50,1174
58,1166
5,1121
76,915
62,889
63,500
167,496
57,447
56,425
204,400
236,400
168,390
47,354
150,321
170,317
60,289
75,288
108,274
31,270
140,267
17,250
192,250
41,214
176,203
181,203
180,200
182,200
184,200
187,200
3,193
21,192
186,188
189,180
171,175
29,167
224,160
159,152
25,150
217,150
218,150
219,150
220,150
32,147
198,147
172,146
46,137
39,134
61,129
183,127
155,119
64,110
15,102
107,101
135,100
153,100
195,100
221,100
235,100
239,100
240,100
241,100
242,100
22,99
185,99
188,96
156,88
2,87
197,87
178,69
205,62
42,60
35,56
7,53
12,53
74,53
30,51
208,51
216,51
6,50
10,50
14,50
26,50
53,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,50
132,50
133,50
136,50
137,50
138,50
139,50
141,50
142,50
143,50
144,50
145,50
146,50
147,50
148,50
149,50
157,50
160,50
162,50
163,50
193,50
207,50
209,50
222,50
225,50
244,50
37,49
51,49
164,49
165,49
20,46
166,41
84,40
158,39
245,38
4,31
116,30
206,28
11,26
85,26
191,25
229,21
117,16
234,16
67,15
190,15
179,14
237,14
13,13
200,13
201,13
202,13
23,8
226,8
227,8
232,8
210,4
214,4
27,2
92,2
94,2
215,2
230,2
231,2
238,2
9,1
80,1
81,1
177,1
233,1
8,0
16,0
18,0
19,0
24,0
28,0
33,0
34,0
36,0
38,0
43,0
44,0
45,0
52,0
54,0
55,0
65,0
66,0
68,0
69,0
70,0
71,0
72,0
73,0
77,0
78,0
79,0
82,0
83,0
86,0
87,0
88,0
89,0
90,0
91,0
93,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
151,0
152,0
154,0
161,0
169,0
173,0
174,0
175,0
194,0
196,0
199,0
203,0
211,0
212,0
213,0
228,0
243,0
